iter	Passed	Remaining
285	1750	4369
286	1752	4354
287	1756	4341
288	1758	4327
289	1764	4319
290	1766	4304
291	1771	4294
292	1773	4279
293	1778	4271
294	1781	4257
295	1785	4246
296	1788	4232
297	1793	4226
298	1796	4212
299	1800	4201
300	1806	4195
301	1812	4188
302	1815	4175
303	1818	4164
304	1824	4156
305	1827	4145
306	1830	4133
307	1833	4120
308	1838	4110
309	1840	4097
310	1843	4083
311	1845	4069
312	1848	4058
313	1852	4047
314	1856	4036
315	1858	4023
316	1861	4011
317	1864	3997
318	1868	3989
319	1871	3977
320	1874	3964
321	1876	3951
322	1879	3938
323	1881	3925
324	1885	3915
325	1887	3902
326	1890	3890
327	1893	3879
328	1901	3877
329	1905	3869
330	1908	3858
331	1913	3850
332	1916	3839
333	1921	3830
334	1923	3818
335	1929	3813
336	1934	3806
337	1937	3793
338	1942	3787
339	1946	3777
340	1949	3766
341	1952	3755
342	1954	3744
343	1960	3738
344	1963	3727
345	1966	3716
346	1968	3704
347	1971	3693
348	1976	3686
349	1978	3674
350	1981	3664
351	1985	3654
352	1988	3644
353	1992	3635
354	1994	3624
355	1998	3615
356	2007	3616
357	2010	3605
358	2013	3594
359	2015	3583
360	2019	3574
361	2023	3566
362	2026	3555
363	2029	3546
364	2033	3537
365	2039	3533
366	2044	3526
367	2048	3517
368	2053	3512
369	2057	3503
370	2060	3494
371	2066	3488
372	2070	3479
373	2073	3470
374	2077	3462
375	2081	3454
376	2085	3446
377	2089	3437
378	2097	3437
379	2103	3431
380	2106	3422
381	2112	3417
382	2116	3410
383	2122	3404
384	2129	3401
385	2133	3393
386	2141	3392
387	2145	3384
388	2148	3375
389	2156	3372
390	2159	3363
391	2162	3354
392	2165	3345
393	2170	3338
394	2174	3330
395	2178	3322
396	2185	3319
397	2189	3311
398	2193	3304
399	2199	3298
400	2202	3290
401	2206	3282
402	2209	3273
403	2214	3266
404	2217	3257
405	2221	3249
406	2225	3242
407	2228	3233
408	2231	3225
409	2234	3216
410	2238	3208
411	2250	3211
412	2253	3202
